Zeit [s],Q_downhole [lpm]_s,Pint_downhole [MPa]
2600.023,0.059232074,0.139544
2600.073,0.059413021,0.139544
2600.123,0.059092279,0.140317
2600.173,0.059630654,0.139544
2600.223,0.059006343,0.13993
2600.273,0.059904746,0.140317
2600.323,0.058985023,0.141089
2600.373,0.060235517,0.140703
2600.423,0.059011842,0.138772
2600.473,0.06060144,0.138772
2600.523,0.059066864,0.142633
2600.573,0.060979075,0.142633
2600.623,0.059141742,0.141089
2600.673,0.061341681,0.141089
2600.723,0.059252395,0.141089
2600.773,0.061756594,0.139544
2600.823,0.059449836,0.141089
2600.873,0.062224549,0.140703
2600.923,0.059683595,0.138772
2600.973,0.062704275,0.141861
2601.023,0.059920073,0.140317
2601.073,0.063170352,0.140317
2601.123,0.060153154,0.141861
2601.173,0.063533476,0.139544
2601.223,0.06029644,0.13993
2601.273,0.063878921,0.140703
2601.323,0.060559596,0.140317
2601.373,0.0642608,0.13993
2601.423,0.060874894,0.141475
2601.473,0.064630736,0.141861
2601.523,0.061198706,0.138386
2601.573,0.064968337,0.138386
2601.623,0.061518616,0.139544
2601.673,0.065117967,0.138772
2601.723,0.061621289,0.139158
2601.773,0.065180429,0.138
2601.823,0.061863649,0.13993
2601.873,0.065261664,0.139158
2601.923,0.062177955,0.142247
2601.973,0.065310195,0.140703
2602.023,0.062518868,0.139544
2602.073,0.065308303,0.139544
2602.123,0.062853299,0.140317
2602.173,0.06513148,0.139544
2602.223,0.063056846,0.139158
2602.273,0.064899244,0.13993
2602.323,0.06335249,0.140317
2602.373,0.06466432,0.139544
2602.423,0.063683873,0.141861
2602.473,0.064397365,0.140317
2602.523,0.0640158,0.141089
2602.573,0.06409499,0.141089
2602.623,0.0643287,0.141475
2602.673,0.063757579,0.141089
2602.723,0.064603758,0.141861
2602.773,0.063416761,0.142633
2602.823,0.064869931,0.141861
2602.873,0.063113429,0.142633
2602.923,0.065125934,0.141861
2602.973,0.062853351,0.140703
2603.023,0.065357174,0.141861
2603.073,0.062636737,0.141861
2603.123,0.065434554,0.140317
2603.173,0.062216706,0.139544
2603.223,0.065415488,0.141475
2603.273,0.061905637,0.141475
2603.323,0.065430047,0.141475
2603.373,0.061692243,0.141089
2603.423,0.065434173,0.140703
2603.473,0.061537602,0.13993
2603.523,0.065391865,0.13993
2603.573,0.061422657,0.13993
2603.623,0.065120473,0.13993
2603.673,0.061004657,0.140703
2603.723,0.064806818,0.141861
2603.773,0.060734948,0.140317
2603.823,0.064548157,0.140703
2603.873,0.060548987,0.141089
2603.923,0.064291096,0.138772
2603.973,0.060404302,0.140703
2604.023,0.064007695,0.14302
2604.073,0.060283523,0.14302
2604.123,0.063602552,0.141475
2604.173,0.060005844,0.141475
2604.223,0.063254605,0.142247
2604.273,0.059861286,0.141089
2604.323,0.062988421,0.142247
2604.373,0.059784184,0.142633
2604.423,0.062767228,0.141089
2604.473,0.059743987,0.141861
2604.523,0.0625784,0.13993
2604.573,0.059733875,0.13993
2604.623,0.062438149,0.139544
2604.673,0.059820573,0.13993
2604.723,0.062444704,0.13993
2604.773,0.060036905,0.141475
2604.823,0.062558081,0.140703
2604.873,0.060323428,0.139544
2604.923,0.06273601,0.141089
2604.973,0.060648455,0.140703
2605.023,0.062961856,0.141861
2605.073,0.061003509,0.141861
2605.123,0.06318692,0.13993
2605.173,0.061384563,0.13993
2605.223,0.063480108,0.140703
2605.273,0.061867189,0.142247
2605.323,0.063848725,0.14302
2605.373,0.062385862,0.141861
2605.423,0.064262004,0.143792
2605.473,0.062902806,0.142633
2605.523,0.064702833,0.141861
2605.573,0.06338373,0.141861
2605.623,0.065048165,0.14302
2605.673,0.063790622,0.142633
2605.723,0.065344191,0.142247
2605.773,0.064259755,0.140703
2605.823,0.065628553,0.141475
2605.873,0.064724532,0.144564
2605.923,0.065881856,0.14495
2605.973,0.065142562,0.143406
2606.023,0.066092771,0.141475
2606.073,0.065471513,0.141475
2606.123,0.066162442,0.141089
2606.173,0.065700411,0.141089
2606.223,0.066143805,0.140703
2606.273,0.065910608,0.141475
2606.323,0.066057977,0.140317
2606.373,0.066063372,0.143792
2606.423,0.065902956,0.141861
2606.473,0.066150335,0.141089
2606.523,0.065702304,0.13993
2606.573,0.066145002,0.13993
2606.623,0.065390145,0.139544
2606.673,0.066027743,0.139158
2606.723,0.065005791,0.13993
2606.773,0.065870354,0.140703
2606.823,0.064599017,0.141089
2606.873,0.065658897,0.142633
2606.923,0.064190312,0.141475
2606.973,0.065380049,0.140703
2607.023,0.063795358,0.141089
2607.073,0.064980087,0.141089
2607.123,0.063268486,0.13993
2607.173,0.064517111,0.139158
2607.223,0.062738381,0.139544
2607.273,0.064078362,0.138772
2607.323,0.062239894,0.13993
2607.373,0.063632048,0.13993
2607.423,0.061774059,0.140317
2607.473,0.063165827,0.13993
2607.523,0.061339921,0.140317
2607.573,0.062660199,0.140317
2607.623,0.060871818,0.13993
2607.673,0.062193559,0.139544
2607.723,0.060473085,0.139158
2607.773,0.06177326,0.138386
2607.823,0.0601337,0.13993
2607.873,0.061377932,0.138772
2607.923,0.059835856,0.140703
2607.973,0.061005792,0.138
2608.023,0.059566751,0.138772
2608.073,0.06067059,0.138772
2608.123,0.059342211,0.13993
2608.173,0.060422016,0.13993
2608.223,0.059191642,0.141089
2608.273,0.060228728,0.141089
2608.323,0.059087643,0.140703
2608.373,0.060080791,0.136841
2608.423,0.059011652,0.13993
2608.473,0.059975383,0.139544
2608.523,0.058953251,0.141089
2608.573,0.059922788,0.141089
2608.623,0.058939625,0.138772
2608.673,0.059959237,0.13993
2608.723,0.058970772,0.142247
2608.773,0.060058719,0.139158
2608.823,0.059023215,0.138386
2608.873,0.060209174,0.138772
2608.923,0.059084404,0.139158
2608.973,0.060395632,0.140317
2609.023,0.059149914,0.13993
2609.073,0.060612038,0.13993
2609.123,0.059252695,0.140317
2609.173,0.060908123,0.140703
2609.223,0.059400709,0.140317
2609.273,0.061258558,0.140317
2609.323,0.059564445,0.138386
2609.373,0.061643545,0.140317
2609.423,0.059729871,0.140317
2609.473,0.062039183,0.13993
2609.523,0.059894841,0.140703
2609.573,0.062404584,0.140703
2609.623,0.060054521,0.13993
2609.673,0.062810189,0.13993
2609.723,0.060292786,0.13993
2609.773,0.063249993,0.141089
2609.823,0.060560523,0.139544
2609.873,0.063700909,0.141861
2609.923,0.060833268,0.13993
2609.973,0.064138723,0.141475
2610.023,0.06110377,0.139544
2610.073,0.064453589,0.139544
2610.123,0.061240599,0.138386
2610.173,0.064725093,0.139158
2610.223,0.06149398,0.13993
2610.273,0.065004846,0.138772
2610.323,0.061801673,0.141475
2610.373,0.065268358,0.142247
2610.423,0.062131792,0.140317
2610.473,0.06549568,0.13993
2610.523,0.062463663,0.141089
2610.573,0.065539161,0.141089
2610.623,0.062605952,0.140317
2610.673,0.065500174,0.140317
2610.723,0.062868278,0.140317
2610.773,0.065453145,0.139158
2610.823,0.063191274,0.142247
2610.873,0.065373258,0.140317
2610.923,0.063541755,0.140703
2610.973,0.065244521,0.139544
2611.023,0.06388241,0.141861
2611.073,0.064995901,0.141861
2611.123,0.064166624,0.141475
2611.173,0.064715912,0.13993
